Transaction,Instrument,Qty,Entry,Entry Price,Entry Time,Exit,Exit Price,Exit Time,Profit,Cumulative Profit
84,NIFTY07MAY209250PE,65,BUY,87.05,06 May 2020 10:45:14,SELL,82.6,06 May 2020 10:45:29,-289.25,2866.5
84,NIFTY07MAY209300PE,65,SELL,110.75,06 May 2020 10:45:14,BUY,104.1,06 May 2020 10:45:29,432.25,2866.5
85,NIFTY07MAY209150PE,65,BUY,27.8,07 May 2020 10:45:14,SELL,22.2,07 May 2020 10:47:29,-364,3071.25
85,NIFTY07MAY209200PE,65,SELL,51,07 May 2020 10:45:14,BUY,42.25,07 May 2020 10:47:29,568.75,3071.25
86,NIFTY14MAY209300PE,65,BUY,148.35,08 May 2020 10:45:14,SELL,148.35,08 May 2020 11:19:14,0,3204.5
86,NIFTY14MAY209350PE,65,SELL,174.05,08 May 2020 10:45:14,BUY,172,08 May 2020 11:19:14,133.25,3204.5
87,NIFTY14MAY209300PE,65,BUY,95.35,11 May 2020 10:45:14,SELL,100.1,11 May 2020 10:46:44,308.75,3220.75
87,NIFTY14MAY209350PE,65,SELL,116.7,11 May 2020 10:45:14,BUY,121.2,11 May 2020 10:47:00,-292.5,3220.75
88,NIFTY14MAY209050PE,65,BUY,98.55,12 May 2020 10:45:14,SELL,94.45,12 May 2020 10:49:00,-266.5,3350.75
88,NIFTY14MAY209100PE,65,SELL,123.1,12 May 2020 10:45:14,BUY,117,12 May 2020 10:49:00,396.5,3350.75
89,NIFTY14MAY209400PE,65,BUY,94,13 May 2020 10:45:14,SELL,98.7,13 May 2020 10:47:44,305.5,3243.5
89,NIFTY14MAY209450PE,65,SELL,120.45,13 May 2020 10:45:14,BUY,126.8,13 May 2020 10:48:00,-412.75,3243.5
90,NIFTY14MAY209200PE,65,BUY,22.25,14 May 2020 10:45:14,SELL,23.35,14 May 2020 10:45:44,71.5,3074.5
90,NIFTY14MAY209250PE,65,SELL,47.15,14 May 2020 10:45:14,BUY,50.85,14 May 2020 10:46:00,-240.5,3074.5
91,NIFTY21MAY209050PE,65,BUY,156.65,15 May 2020 10:45:14,SELL,164.45,15 May 2020 10:58:44,507,3081
91,NIFTY21MAY209100PE,65,SELL,182.35,15 May 2020 10:45:14,BUY,190.05,15 May 2020 10:59:00,-500.5,3081
92,NIFTY21MAY208850PE,65,BUY,126.4,18 May 2020 10:45:14,SELL,132.7,18 May 2020 10:45:44,409.5,2938
92,NIFTY21MAY208900PE,65,SELL,150.45,18 May 2020 10:45:14,BUY,158.95,18 May 2020 10:46:00,-552.5,2938
93,NIFTY21MAY208950PE,65,BUY,91.15,19 May 2020 10:45:14,SELL,95.7,19 May 2020 10:46:44,295.75,2921.75
93,NIFTY21MAY209000PE,65,SELL,113.6,19 May 2020 10:45:14,BUY,118.4,19 May 2020 10:47:00,-312,2921.75
