"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"48.2","2025-03-07"," 9:35:00 AM","2025-03-07"," 9:36:00 AM","PE","22450","Buy","65","96.40","101.20","","312.00"
"49","2025-03-10"," 9:35:00 AM","2025-03-10"," 9:36:00 AM","","","","","","","13.95","-58.50"
"49.1","2025-03-10"," 9:35:00 AM","2025-03-10"," 9:36:00 AM","CE","22700","Buy","65","76.00","77.50","","97.50"
"49.2","2025-03-10"," 9:35:00 AM","2025-03-10"," 9:36:00 AM","PE","22500","Buy","65","91.15","88.75","","-156.00"
"50","2025-03-11"," 9:35:00 AM","2025-03-11"," 9:36:00 AM","","","","","","","14.18","78.00"
"50.1","2025-03-11"," 9:35:00 AM","2025-03-11"," 9:36:00 AM","CE","22450","Buy","65","75.50","77.00","","97.50"
"50.2","2025-03-11"," 9:35:00 AM","2025-03-11"," 9:36:00 AM","PE","22250","Buy","65","66.75","66.45","","-19.50"
"51","2025-03-12"," 9:35:00 AM","2025-03-12"," 9:37:00 AM","","","","","","","14.08","94.25"
"51.1","2025-03-12"," 9:35:00 AM","2025-03-12"," 9:37:00 AM","CE","22550","Buy","65","52.90","51.90","","-65.00"
"51.2","2025-03-12"," 9:35:00 AM","2025-03-12"," 9:36:00 AM","PE","22350","Buy","65","49.20","51.65","","159.25"
"52","2025-03-13"," 9:35:00 AM","2025-03-13"," 9:36:00 AM","","","","","","","13.52","68.25"
"52.1","2025-03-13"," 9:35:00 AM","2025-03-13"," 9:36:00 AM","CE","22600","Buy","65","8.95","9.15","","13.00"
"52.2","2025-03-13"," 9:35:00 AM","2025-03-13"," 9:36:00 AM","PE","22400","Buy","65","16.65","17.50","","55.25"
"53","2025-03-17"," 9:35:00 AM","2025-03-17"," 9:36:00 AM","","","","","","","13.54","-165.75"
"53.1","2025-03-17"," 9:35:00 AM","2025-03-17"," 9:36:00 AM","CE","22650","Buy","65","98.10","92.60","","-357.50"
"53.2","2025-03-17"," 9:35:00 AM","2025-03-17"," 9:36:00 AM","PE","22450","Buy","65","59.00","61.95","","191.75"
"54","2025-03-18"," 9:35:00 AM","2025-03-18"," 9:36:00 AM","","","","","","","13.57","123.50"
"54.1","2025-03-18"," 9:35:00 AM","2025-03-18"," 9:36:00 AM","CE","22800","Buy","65","71.40","72.85","","94.25"
"54.2","2025-03-18"," 9:35:00 AM","2025-03-18"," 9:36:00 AM","PE","22600","Buy","65","71.80","72.25","","29.25"
"55","2025-03-19"," 9:35:00 AM","2025-03-19"," 9:36:00 AM","","","","","","","13.43","221.00"
"55.1","2025-03-19"," 9:35:00 AM","2025-03-19"," 9:36:00 AM","CE","22950","Buy","65","45.00","45.90","","58.50"
"55.2","2025-03-19"," 9:35:00 AM","2025-03-19"," 9:36:00 AM","PE","22750","Buy","65","50.40","52.90","","162.50"
"56","2025-03-20"," 9:35:00 AM","2025-03-20"," 9:36:00 AM","","","","","","","13.10","104.00"
"56.1","2025-03-20"," 9:35:00 AM","2025-03-20"," 9:36:00 AM","CE","23150","Buy","65","21.90","22.60","","45.50"
"56.2","2025-03-20"," 9:35:00 AM","2025-03-20"," 9:36:00 AM","PE","22950","Buy","65","18.20","19.10","","58.50"
"57","2025-03-21"," 9:35:00 AM","2025-03-21"," 9:36:00 AM","","","","","","","12.48","65.00"
"57.1","2025-03-21"," 9:35:00 AM","2025-03-21"," 9:36:00 AM","CE","23350","Buy","65","81.10","82.10","","65.00"
"57.2","2025-03-21"," 9:35:00 AM","2025-03-21"," 9:36:00 AM","PE","23150","Buy","65","92.10","92.10","","0.00"
"58","2025-03-24"," 9:35:00 AM","2025-03-24"," 9:36:00 AM","","","","","","","13.22","-201.50"
"58.1","2025-03-24"," 9:35:00 AM","2025-03-24"," 9:36:00 AM","CE","23550","Buy","65","90.35","92.15","","117.00"
"58.2","2025-03-24"," 9:35:00 AM","2025-03-24"," 9:36:00 AM","PE","23350","Buy","65","85.70","80.80","","-318.50"
"59","2025-03-25"," 9:35:00 AM","2025-03-25"," 9:36:00 AM","","","","","","","14.00","-39.00"
"59.1","2025-03-25"," 9:35:00 AM","2025-03-25"," 9:36:00 AM","CE","23850","Buy","65","102.60","102.20","","-26.00"
"59.2","2025-03-25"," 9:35:00 AM","2025-03-25"," 9:36:00 AM","PE","23650","Buy","65","84.70","84.50","","-13.00"
"60","2025-03-26"," 9:35:00 AM","2025-03-26"," 9:36:00 AM","","","","","","","13.80","-169.00"
"60.1","2025-03-26"," 9:35:00 AM","2025-03-26"," 9:36:00 AM","CE","23800","Buy","65","53.40","47.75","","-367.25"
"60.2","2025-03-26"," 9:35:00 AM","2025-03-26"," 9:36:00 AM","PE","23600","Buy","65","61.15","64.20","","198.25"
"61","2025-03-27"," 9:35:00 AM","2025-03-27"," 9:36:00 AM","","","","","","","13.64","136.50"
"61.1","2025-03-27"," 9:35:00 AM","2025-03-27"," 9:36:00 AM","CE","23650","Buy","65","19.65","20.05","","26.00"
"61.2","2025-03-27"," 9:35:00 AM","2025-03-27"," 9:36:00 AM","PE","23450","Buy","65","33.55","35.25","","110.50"
"62","2025-03-28"," 9:35:00 AM","2025-03-28"," 9:37:00 AM","","","","","","","12.84","-318.50"
"62.1","2025-03-28"," 9:35:00 AM","2025-03-28"," 9:37:00 AM","CE","23650","Buy","65","109.10","99.00","","-656.50"
"62.2","2025-03-28"," 9:35:00 AM","2025-03-28"," 9:36:00 AM","PE","23450","Buy","65","103.60","108.80","","338.00"
"63","2025-04-01"," 9:35:00 AM","2025-04-01"," 9:36:00 AM","","","","","","","13.38","-45.50"
"63.1","2025-04-01"," 9:35:00 AM","2025-04-01"," 9:36:00 AM","CE","23600","Buy","65","69.75","66.05","","-240.50"
"63.2","2025-04-01"," 9:35:00 AM","2025-04-01"," 9:36:00 AM","PE","23400","Buy","65","60.00","63.00","","195.00"
"64","2025-04-02"," 9:35:00 AM","2025-04-02"," 9:36:00 AM","","","","","","","13.80","250.25"
"64.1","2025-04-02"," 9:35:00 AM","2025-04-02"," 9:36:00 AM","CE","23400","Buy","65","49.80","50.80","","65.00"
"64.2","2025-04-02"," 9:35:00 AM","2025-04-02"," 9:36:00 AM","PE","23200","Buy","65","57.35","60.20","","185.25"
"65","2025-04-03"," 9:35:00 AM","2025-04-03"," 9:36:00 AM","","","","","","","13.75","71.50"
"65.1","2025-04-03"," 9:35:00 AM","2025-04-03"," 9:36:00 AM","CE","23350","Buy","65","13.10","13.35","","16.25"
"65.2","2025-04-03"," 9:35:00 AM","2025-04-03"," 9:36:00 AM","PE","23150","Buy","65","16.90","17.75","","55.25"
"66","2025-04-04"," 9:35:00 AM","2025-04-04"," 9:36:00 AM","","","","","","","13.71","162.50"
"66.1","2025-04-04"," 9:35:00 AM","2025-04-04"," 9:36:00 AM","CE","23200","Buy","65","110.95","108.20","","-178.75"
"66.2","2025-04-04"," 9:35:00 AM","2025-04-04"," 9:36:00 AM","PE","23000","Buy","65","104.60","109.85","","341.25"
"67","2025-04-07"," 9:35:00 AM","2025-04-07"," 9:36:00 AM","","","","","","","20.31","-893.75"
"67.1","2025-04-07"," 9:35:00 AM","2025-04-07"," 9:36:00 AM","CE","22250","Buy","65","240.45","215.45","","-1625.00"
"67.2","2025-04-07"," 9:35:00 AM","2025-04-07"," 9:36:00 AM","PE","22050","Buy","65","224.75","236.00","","731.25"
"68","2025-04-08"," 9:35:00 AM","2025-04-08"," 9:36:00 AM","","","","","","","19.60","507.00"
"68.1","2025-04-08"," 9:35:00 AM","2025-04-08"," 9:36:00 AM","CE","22600","Buy","65","112.20","114.45","","146.25"
"68.2","2025-04-08"," 9:35:00 AM","2025-04-08"," 9:36:00 AM","PE","22400","Buy","65","111.10","116.65","","360.75"
"69","2025-04-09"," 9:35:00 AM","2025-04-09"," 9:36:00 AM","","","","","","","21.00","214.50"
"69.1","2025-04-09"," 9:35:00 AM","2025-04-09"," 9:36:00 AM","CE","22500","Buy","65","48.25","49.20","","61.75"
